"hack_license","medallion","vendor_id","pickup_datetime","dropoff_datetime","trip_distance","trip_time_in_secs","passenger_count"," fare_amount"
"E25AB20AF801BF002799455F99C974F7","7B9B7DA0612AB6D6CDB6EFC1337DEB4E","CMT","2013-05-20 00:02:34","2013-05-20 00:12:42",2.5,606,1,10
"9BA352CFB8913379DD5361EF8F581BB6","5C4AF8B1814695EB3B030C19C0C21673","CMT","2013-05-20 00:02:34","2013-05-20 00:16:02",3.3,809,3,13
"0D0DB61CD1F9C60B73F2BDFC7888A6FA","91D8D99C6CD77DFC4A6F8D5736003743","CMT","2013-05-20 00:02:34","2013-05-20 00:07:36",4.2,302,1,5
"6AA11F74FA13585B2E94A266D7CB6ABC","18C7409BE1CCE85BA11E5F2B31687AFB","CMT","2013-05-20 00:02:34","2013-05-20 00:09:11",1.5,397,2,7
"EA52BEEB093A7B711A366ECF525D621A","DE8C20D3CB4536C7881386E913AA634D","CMT","2013-05-20 00:02:35","2013-05-20 00:15:29",2.5,590,2,10
"AC63C46044FC3E0DFF7FF2908232A90F","33DF2EACFCFF8646CE34F48F1248C89E","CMT","2013-05-20 00:02:37","2013-05-20 00:21:22",11.7,1123,1,32.5
"2A4A5E7945F19473FF004115C775E6DC","0F6A8ECA315ACBD48821AA9C32E6B310","CMT","2013-05-20 00:02:37","2013-05-20 00:20:37",6.4,1077,1,21
"2D27E326827084760694E8C21C3B3D4D","FBB7CB930BA1070F2E0613747440BA47","CMT","2013-05-20 00:02:39","2013-05-20 00:11:13",2.1,514,1,9
"4A5AF103F638913AACB399C32933B854","2352B4B6D3F2CAB788F71C0D50442192","CMT","2013-05-20 00:02:40","2013-05-20 00:25:22",11.9,1361,1,34.5
"151458CC31473A73359A5DC99EBB65D2","28EDC71B5EB5049A224CEC1996728A74","CMT","2013-05-20 00:02:40","2013-05-20 00:09:26",1.9,406,1,8
"58AAA3023FC11000300B70D8776E994E","CED074A72B254BB65228D43D2ACBD250","CMT","2013-05-20 00:02:40","2013-05-20 00:05:13",0.6,153,1,4
"42DD69FCF8FA51480A21C826B15D52E6","CC9BFC4D86C7F79B3E319019C5EE7F3A","CMT","2013-05-20 00:02:41","2013-05-20 00:10:48",1.4,553,4,8
